"","tempall","pcpall","pdsiall","cwdall","petall","vpdall"
"1",14.6388968549852,10.1687219195106,26.7242615428735,18.9859956027148,12.6696778510659,63.3507790842176
"2",33.0937134412906,0.128789278164317,30.2866886959615,0.315217316941349,14.4168736188932,57.1549028863849
"3",8.20657081336389,1.76599291519066,32.527031094441,2.92016855363386,33.6916255701419,39.8520525109398
"4",20.103986135182,9.94800693240901,45.1646447140381,21.9728480647025,16.83997689197,52.3483535528596
"5",9.67652750898535,4.05838171597088,62.3848032439407,4.73804257672104,4.09409271034928,20.6778177126532
"6",15.8905838845032,9.02585164639784,46.6858687148851,17.6614394424294,6.96963231633597,49.8782092312069
"7",33.0643690736689,19.3859409190372,47.1872720641867,11.2623085339168,18.0958242159008,61.4742888402626
"8",41.8923799205489,16.8833513903936,42.8855182376309,38.7233658360419,33.8840736728061,71.2892741061755
"9",0,0,0,0,0,0
"10",15.8243274230892,0.0392043731368676,50.7256507556088,3.09048813143081,8.66287197922908,46.2541331025453
"11",3.70000429608627,0.0633672724148301,44.1508785496413,0.578539617075511,0.685583766522032,14.9059873122252
"12",73.2512315270936,7.8735632183908,69.9507389162562,3.16091954022989,46.9047619047619,88.5796387520525
"13",68.6872069658406,11.8943960705515,60.6999330207636,22.6557267247153,72.2538513060951,85.4934137084171
"14",24.7198581560284,8.55230496453901,49.5602836879433,1.70478723404255,25.0505319148936,73.5718085106383
"15",38.5574494949495,1.6729797979798,53.154310966811,5.88924963924964,39.0647546897547,74.4701479076479
"16",0,0,0,0,0,0
"17",34.342115913874,1.35482434838919,21.842115913874,0.709284442285899,44.5432653391614,70.3243888619071
"18",19.2572083253771,0.647635414677614,37.0170581121507,24.4669339952899,27.1704538221628,42.8171344917574
"19",20.1399790685505,8.47069597069597,31.8681318681319,3.20512820512821,20.4016221873365,56.8942961800105
"20",0,0,0,0,0,0
"21",0,0,0,0,0,0
"22",4.77212681638045,0.0467855570233377,41.2318361955086,2.28698811096433,4.12263320123294,26.221928665786
"23",43.3743816440375,4.99157983370172,55.5441532470266,7.32291337753921,50.5473108093885,75.9998947479213
"24",0,0,0,0,0,0
"25",12.08807896735,11.419893697798,72.589217919514,14.6279422930904,14.2217160212604,56.7274107820805
"26",0,0,0,0,0,0
"27",0,0,0,0,0,0
"28",8.0738895807389,0.134910751349108,44.3181818181818,8.442299709423,5.9049398090494,39.4691780821918
"29",75.1287597857437,13.8339513803049,23.3673259167697,5.54182117840956,47.275442933663,63.2210548001648
"30",0,0,0,0,0,0
"31",0,0,0,0,0,0
"32",7.84423536439665,0.0348466746316209,83.1254978096376,1.97132616487455,0.8823675826364,13.3686778176025
"33",5.15935508061492,4.6400449943757,66.0067491563555,8.24709411323585,12.5534308211474,53.6426696662917
"34",0,0,0,0,0,0
"35",0,0,0,0,0,0
"36",8.22836947278912,0.0509318310657596,60.1699794501134,1.28525368480726,0.359180130385488,0.954418225623583
"37",25.2039691289967,5.42631385520029,75.2058066887174,8.04483645718486,10.9059169423006,35.6339581036384
"38",0,0,0,0,0,0
"39",0,0,0,0,0,0
"40",1.12437534702943,0.779196742550435,80.8578567462521,4.93614658523043,4.52341291874884,12.4106977605034
"41",0,0,0,0,0,0
"42",0,0,0,0,0,0
"43",0,0,0,0,0,0
"44",0,0,0,0,0,0
"45",0,0,0,0,0,0
"46",0,0,0,0,0,0
"47",29.6356554750284,2.7486072080067,37.3564068431692,19.725878814771,17.3655277818863,4.26712024848395
"48",2.63387026556378,0.685676969960818,92.0475983166449,10.9381802350892,12.0374401393121,10.985343201277
"49",35.5813719573526,1.19191309595655,86.0239388453028,32.3325286662643,45.1217058941863,29.2747938040636
"50",0.853618689756576,2.93751928697199,58.8960591043584,8.91285011526802,1.876962733032,4.93519577411098
"51",1.76944418172074,0.0488666099183455,92.7066584696869,1.9976197231943,0.944229011002869,0.286106119360636
"52",0,0,0,0,0,0
"53",0,0,0,0,0,0
"54",3.98733713951105,0.964353681744986,88.6400234226321,14.2438881569316,4.22339335382814,35.624359537403
"55",16.7975089256735,0.379003029319485,78.5428838039598,2.43292221140322,0.174456345342421,0.746510873093152
"56",0,0,0,0,0,0
"57",1.08360327009101,1.93197593706617,88.4389942927657,11.4028998920253,10.3694277340737,11.9504858861638
"58",3.72267759562842,1.36612021857923,90.7331511839709,5.90846994535519,3.76821493624772,2.33378870673953
"59",0,0,0,0,0,0
"60",23.7229102167183,18.9112487100103,89.3833849329205,19.7110423116615,9.36532507739938,2.43808049535604
"61",38.3292130201895,5.59332509270705,90.8735063864854,22.6926246394726,35.3316852080758,44.7053976102184
"62",0,0,0,0,0,0
"63",0,0,0,0,0,0
"64",0,0,0,0,0,0
"65",7.60760760760761,0.225225225225225,71.8289718289718,6.14543114543115,8.31188331188331,8.8981838981839
"66",0,0,0,0,0,0
"67",0,0,0,0,0,0
"68",0,0,0,0,0,0
"69",0,0,0,0,0,0
"70",0,0,0,0,0,0
"71",2.05918386579964,0.0164923192913015,12.2855998492131,4.06889077372538,1.44189991518236,5.29992460654038
"72",0,0,0,0,0,0
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",27.151799687011,12.4021909233177,97.085289514867,5.57511737089202,4.9491392801252,3.26682316118936
"76",0,0,0,0,0,0
"77",34.6038415366146,0.870348139255702,99.4397759103641,6.70268107242897,7.24289715886355,14.5058023209284
"78",0,0,0,0,0,0
"79",0,0,0,0,0,0
"80",0,0,0,0,0,0
"81",0,0,0,0,0,0
"82",28.0722573839662,1.72732067510549,92.3127637130802,54.417194092827,37.7241561181435,58.5443037974684
"83",0,0,0,0,0,0
"84",54.0364583333333,1.04166666666667,68.65234375,0.78125,16.11328125,16.4713541666667
"85",7.53576952822892,0.613882443928848,95.9541763341067,6.51585460170147,7.14907192575406,9.56109822119103
"86",0.964506172839506,0.0395955165692008,68.6748700454841,44.667803768681,0.62946718648473,18.9033057179987
"87",0.774612693653173,0.164917541229385,87.8660669665167,44.7951024487756,1.48925537231384,23.2033983008496
"88",23.990516977669,0.466503517895381,66.3990007137759,4.96584072601203,16.2664423371061,37.4706842051596
"89",0,0,0,0,0,0
"90",0,0,0,0,0,0
"91",43.6531102030226,1.4821301161056,81.8884997081144,12.4456768502303,73.1124732438218,81.2155412855938
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
"94",0.196267696267696,1.04086229086229,51.2532175032175,49.9823037323037,0.204311454311454,0.241312741312741
"95",25.9149774774775,45.9600225225225,33.6148648648649,49.6480855855856,26.7595720720721,34.3327702702703
"96",21.198323214802,2.3778548713501,76.4744145706852,32.307025151778,12.6409366869037,51.5900549291703
"97",15.8409942117807,0.36601974804222,71.7100783112019,48.9955737146748,13.8151174668029,48.3103506979911
"98",0,0,0,0,0,0
"99",3.40657822001106,6.6404090657822,84.0519624101714,9.72222222222222,5.38280818131564,20.9231619679381
"100",0,0,0,0,0,0
"101",65.279309077545,0.47776552737964,96.5821389195149,28.3811098860713,67.7967658948916,85.9610437339214
"102",0,0,0,0,0,0
"103",57.2965641952984,2.0328511151296,70.4023508137432,78.4388185654008,71.6546112115732,76.3456901748041
"104",0,0,0,0,0,0
"105",0,0,0,0,0,0
"106",0,0,0,0,0,0
"107",62.5220458553792,1.62509448223734,72.0395565633661,14.1597379692618,39.0589569160998,44.9420508944318
"108",83.6442141623489,13.2556131260794,78.8860103626943,78.0310880829015,96.7616580310881,96.5198618307427
"109",0,0,0,0,0,0
"110",41.1235573659199,1.45960624575696,93.346911065852,58.5879158180584,52.4439918533605,51.6802443991853
"111",68.2800224466891,11.9809203142536,80.3900112233446,9.63524130190797,10.1038159371493,60.1122334455668
"112",56.7430620517618,1.89429373246024,100,17.4150296227003,31.711880261927,66.0196445275959
