Log_DeltaBA,CMIP_deltacVegTree
-5.346952134,8.901068263
-5.299753573,8.094200333
-5.253826824,8.751356996
-5.247727489,8.783961423
-5.225360656,8.779970796
-5.218515774,8.617466324
-5.211901857,8.653614818
-5.199538033,8.746797995
-5.182215404,8.384367673
-5.165012222,8.566176437
-5.114196577,8.839197478
-5.044950303,8.924910796
-5.034787315,8.844173033
-5.031199808,8.98761673
-5.029382762,8.9086654
-5.0265387,8.660574916
-4.985858568,8.494268409
-4.94447719,6.525701367
-4.926686199,8.320783866
-4.917310753,8.570439497
-4.875394156,8.380089459
-4.867699155,8.948003126
-4.844377668,8.667664382
-4.831167356,8.161455368
-4.825448531,8.394050237
-4.805988936,9.014220636
-4.780452371,8.368950699
-4.767076021,9.365296482
-4.760353317,8.267159096
-4.700698823,9.092554218
-4.684850685,8.790343137
-4.678002866,7.669917238
-4.6719038,8.308837602
-4.658745509,8.301970746
-4.641077301,9.059608819
-4.634389658,6.703525449
-4.596105587,7.369403789
-4.584761458,8.241903198
-4.559390151,9.232166851
-4.554348312,8.016975233
-4.552721713,9.272646281
-4.550396292,8.406923468
-4.523449054,8.021181973
-4.510045544,7.255663753
-4.501647049,8.843424986
-4.500833149,8.853372258
-4.498411235,8.427666976
-4.496710601,8.777401128
-4.492987586,6.112160204
-4.456863951,9.009199695
-4.446221873,8.19089307
-4.442985898,8.155309155
-4.442448783,8.341623613
-4.423485483,9.445251393
-4.405995288,9.132684643
-4.388674897,6.265265924
-4.38753913,8.986532994
-4.384485234,9.279268794
-4.36485988,7.933470613
-4.345006266,9.035013559
-4.341513364,9.46503557
-4.323292057,8.605384562
-4.320427082,8.687603714
-4.311885457,7.873794723
-4.308193795,7.676362004
-4.307707994,9.653754036
-4.306427126,8.92825304
-4.281489589,8.970970701
-4.277244309,9.019066781
-4.258410723,9.232664042
-4.253434378,7.934814735
-4.240180194,8.903606042
-4.236204966,7.965671924
-4.220657575,9.417557887
-4.214339349,7.578184365
-4.20666408,7.777423604
-4.201624068,9.160454783
-4.193819319,6.156909563
-4.174317275,9.633659126
-4.171404077,8.124781914
-4.121984189,9.229667334
-4.120160901,5.753259909
-4.114246333,8.959323922
-4.111715112,5.935681025
-4.110148189,7.781847678
-4.107783242,8.905610741
-4.082110531,7.849483955
-4.072280293,8.153254216
-4.065944345,7.708516202
-4.047866621,9.380351277
-4.039020243,8.04417547
-4.013617066,7.673235869
-4.012309225,8.630226637
-3.992234706,5.542752916
-3.987378603,8.244999708
-3.975850955,7.625311575
-3.974380432,5.398460669
-3.963387843,7.086086925
-3.957744602,8.313365103
-3.945298248,8.047304363
-3.940078459,6.26635375
-3.936756806,7.463135275
-3.903529282,6.709188238
-3.900279764,8.070420162
-3.899359455,8.998492251
-3.897994493,8.66015156
-3.893968855,9.491772646
-3.892109214,7.613741754
-3.890935297,6.48154865
-3.880664837,9.066568061
-3.874832421,7.088648997
-3.867849893,8.90987776
-3.867831996,9.510351407
-3.866119842,5.556973337
-3.854206416,8.681234875
-3.845782146,8.518736918
-3.843473313,7.897185121
-3.840464596,9.779734987
-3.829458504,7.824678734
-3.803099409,8.368227178
-3.776615265,7.288089532
-3.755152246,9.098065046
-3.754001518,8.896048682
-3.749053386,8.952271452
-3.735004754,5.828877955
-3.732203202,8.882289775
-3.721374423,6.570977274
-3.718391353,7.798656053
-3.697070655,4.301596241
-3.678340739,8.528442537
-3.670668044,6.041134818
-3.668648187,8.385752299
-3.667975768,3.58584344
-3.658187878,4.274140528
-3.654586358,6.163179328
-3.639013617,6.268562538
-3.636682697,8.751387002
-3.630048937,8.900401748
-3.616408389,6.546670821
-3.612520713,8.279104038
-3.601554393,7.488288916
-3.597508423,8.454726799
-3.588242097,7.634281305
-3.586410175,7.901350837
-3.56951929,6.55379833
-3.566543263,6.975189741
-3.562510462,8.829930661
-3.55893064,8.856470511
-3.554198878,8.8612829
-3.5458606,9.340722485
-3.540626975,7.737697852
-3.536191251,7.617423994
-3.535334045,6.101805961
-3.530399728,6.176795289
-3.52630136,6.776875956
-3.518557295,5.715799106
-3.508435996,5.271617997
-3.494303563,9.060571283
-3.490872664,7.559464782
-3.464719302,6.165355727
-3.461863918,8.278467027
-3.460229356,8.920914909
-3.459867018,9.005058512
-3.455579221,8.959502872
-3.438839132,6.565126966
-3.434491859,8.880467133
-3.432505531,8.977171353
-3.428500975,8.91251388
-3.427043036,8.422384112
-3.408635616,7.668889837
-3.401781463,8.093400096
-3.400206983,5.590679802
-3.399951788,5.415084293
-3.391491745,7.663580073
-3.380537293,7.129809689
-3.375680051,7.793699743
-3.348813294,5.683515682
-3.346414619,6.029925689
-3.343424061,8.171704729
-3.337668306,7.074834318
-3.336830604,7.73915078
-3.328770077,9.121928595
-3.326447641,5.251560398
-3.32218124,6.113889815
-3.281654026,8.831980767
-3.274675935,7.675672879
-3.270601837,5.029535553
-3.269499953,8.748535873
-3.266851408,6.828366748
-3.265223793,6.435026477
-3.264608729,6.304567357
-3.263394069,8.749592496
-3.260506572,8.96119108
-3.257696567,8.820864233
-3.250561887,8.795564686
-3.243610732,7.062856123
-3.235246036,9.856377892
-3.234692923,8.746450874
-3.234075139,5.828841834
-3.231869153,5.297172234
-3.228178627,3.214919752
-3.224953429,8.580818188
-3.219713314,5.647354821
-3.202200261,7.676677641
-3.200931275,4.877461376
-3.192277466,6.719605882
-3.191250421,8.976856116
-3.179774255,8.697669999
-3.175632605,7.257608037
-3.167764262,7.677018892
-3.167526071,5.853841425
-3.16654602,8.847439439
-3.166135798,9.574181993
-3.163948907,8.043057816
-3.159983625,8.070149323
-3.159591364,9.119557448
-3.158258344,7.89865444
-3.151290698,8.838184706
-3.141221809,4.194835488
-3.124709246,6.526539767
-3.123792116,8.183326281
-3.116351413,8.894724952
-3.115773278,8.39691192
-3.103297897,7.314462582
-3.101822736,7.726632841
-3.098712043,8.440193966
-3.087944217,6.195710667
-3.087104725,8.321439544
-3.084658909,9.288854672
-3.084062592,6.544645743
-3.081708947,8.103835364
-3.078087997,6.307586064
-3.075992526,6.448020024
-3.07595796,5.148860921
-3.067503345,6.393975008
-3.065169672,7.971174229
-3.064673142,7.280104853
-3.061453893,6.416806032
-3.057636896,5.937640759
-3.055426171,8.685835716
-3.051699039,6.35353899
-3.049154896,5.791712386
-3.04742335,6.292771227
-3.045419942,6.289177844
-3.042258806,5.766688952
-3.041812352,5.789123647
-3.039956204,7.479802384
-3.033695612,9.015827582
-3.028679204,6.680994516
-3.027762459,9.512333517
-3.026456209,8.998572586
-3.022794334,9.116678241
-3.020949142,5.870282584
-3.019923785,9.116240815
-3.019687168,8.910644595
-3.019489989,6.750184098
-3.019251756,5.083922249
-3.017426765,8.677600265
-3.016259182,6.226766624
-3.01222961,6.850011734
-3.011125841,6.812588813
-3.010941022,6.881852048
-3.00333502,6.462939432
-3.00214914,8.663743233
-2.999160288,9.934364959
-2.998742685,8.571679719
-2.996222031,7.574690095
-2.995078927,7.895028136
-2.98071791,6.775210087
-2.980410841,6.206453111
-2.977127025,5.437602663
-2.976342769,6.44176567
-2.974573921,4.592777152
-2.973034578,6.949435415
-2.971407686,9.244832123
-2.969627894,4.699688232
-2.968194909,6.221250559
-2.965938022,5.327475808
-2.964325805,7.446043884
-2.959017494,9.10829178
-2.957824809,7.352004436
-2.956891076,9.060027228
-2.956538851,7.216616924
-2.955809405,5.170876795
-2.95142675,8.606091667
-2.950991363,6.962922952
-2.95082122,7.757630569
-2.950160751,8.690247713
-2.947187542,7.584239924
-2.946847518,7.682012708
-2.94524953,5.247317287
-2.94429714,4.484728335
-2.941591494,6.871098114
-2.940234993,7.407112856
-2.938768998,6.264455201
-2.938699915,7.163861062
-2.937985504,10.73724377
-2.936751923,9.618814469
-2.934321503,9.063417539
-2.93348832,8.12012379
-2.93331584,8.836260644
-2.933307218,1.904884676
-2.932802748,6.716717742
-2.930834828,7.359618166
-2.929013324,8.974705654
-2.928457852,7.531518589
-2.923947446,9.374802391
-2.923347363,6.977996582
-2.922997828,6.819220299
-2.918285728,4.832751608
-2.915569416,7.922698044
-2.915421269,5.816318741
-2.914017772,6.622025996
-2.91361108,6.441835524
-2.913434122,8.842876892
-2.912305183,6.78957708
-2.910174546,6.442505122
-2.909948577,7.67353309
-2.909867962,7.24262303
-2.907510839,7.718545531
-2.901497776,8.097365138
-2.901406175,6.288865301
-2.899530931,6.25239842
-2.896483506,9.484018965
-2.896268552,6.299460305
-2.896054876,8.343312527
-2.895880149,6.148511731
-2.894601908,9.890748204
-2.894250961,8.23985225
-2.893611542,5.132961971
-2.893377385,9.963023089
-2.893256932,7.55626296
-2.892995342,7.742493989
-2.892481555,10.19552519
-2.88963754,9.542849416
-2.887172517,7.012250937
-2.8859869,7.070183277
-2.885742353,8.732118746
-2.884119302,9.197562024
-2.881505096,7.178094624
-2.87879353,8.160150447
-2.877252606,6.234506204
-2.876575239,8.99618881
-2.876356663,9.561983278
-2.873146365,6.797907036
-2.872764703,7.011874137
-2.872308629,7.280698659
-2.87213961,6.432366111
-2.871438227,4.279183141
-2.871118181,6.808821532
-2.871008844,7.689269771
-2.869161905,6.148030385
-2.868783181,6.671159995
-2.867947395,6.697473225
-2.867432999,9.584442662
-2.864878149,8.278621297
-2.864867085,6.800543724
-2.86401913,9.166481829
-2.86217875,7.065735356
-2.861373511,7.708165441
-2.858506151,7.170540371
-2.858140711,6.857743577
-2.85501168,7.281297092
-2.854960499,8.298116532
-2.85418997,7.400078121
-2.850527087,8.430909132
-2.849181549,8.848741974
-2.848917508,6.382905631
-2.847719939,6.798742572
-2.843600483,4.921908294
-2.843094916,9.07943073
-2.84152187,6.112911721
-2.839771582,7.800029072
-2.838793075,6.874526352
-2.837795731,6.333180264
-2.835986805,6.795752539
-2.834818811,6.31389057
-2.834017186,7.206238569
-2.832500004,6.836400495
-2.83014241,4.731377327
-2.829654643,8.180526908
-2.828543213,10.23724322
-2.825747671,6.548509915
-2.825568887,7.727348047
-2.825062085,9.360592433
-2.824922154,7.384982375
-2.82294834,10.80242439
-2.82272002,6.800400744
-2.821568463,8.348834796
-2.821423783,4.523750937
-2.82130805,8.469278268
-2.819320913,7.546422193
-2.815744332,6.965982699
-2.81431633,7.550793703
-2.814066474,8.619769445
-2.81243462,6.861934912
-2.809953506,6.410847125
-2.809814087,6.985088336
-2.809647721,6.837584778
-2.807069734,7.683319386
-2.806624471,9.246605115
-2.806477415,9.648007519
-2.803655052,8.865185471
-2.803091067,7.115843044
-2.802327253,8.783961179
-2.801143302,7.185009267
-2.800164735,9.078312984
-2.79972556,7.793656612
-2.799283637,6.433027182
-2.799255571,6.201363474
-2.798434277,8.880509021
-2.79611115,7.69106355
-2.794959891,7.00373355
-2.793808,8.939293539
-2.793761578,6.985353105
-2.793350428,6.038222467
-2.792283783,6.351403126
-2.791131405,4.761616981
-2.791083082,7.179161651
-2.791011704,7.235398697
-2.790222718,10.76919892
-2.788667261,8.684388822
-2.78787886,8.914137922
-2.787347975,6.827259014
-2.787227987,6.278776495
-2.785953978,7.336435507
-2.785567984,6.727378054
-2.78396688,7.145155983
-2.780824155,6.123503737
-2.780735617,5.857250495
-2.780222439,6.646134968
-2.779609939,7.006077152
-2.77934289,6.734605132
-2.778901237,7.696876316
-2.778408039,6.502400342
-2.777955627,5.129889254
-2.777919237,3.999185302
-2.775823357,6.374536829
-2.775254074,6.090322519
-2.775054258,8.162519789
-2.773233587,8.581457707
-2.768401479,5.810050613
-2.768299703,7.032422551
-2.766603907,4.274135593
-2.766216017,7.616310364
-2.765152558,5.221558114
-2.765033017,6.86838129
-2.764770087,6.743511554
-2.763099765,5.934617345
-2.76281985,7.150934277
-2.761510754,6.253194659
-2.761112722,9.506678611
-2.760800772,6.089853202
-2.76041712,6.776577063
-2.760412471,6.922850989
-2.759608829,6.586308074
-2.757655744,8.204153386
-2.757515229,6.338916127
-2.756964102,6.391734301
-2.755788689,7.377044843
-2.754627677,6.998876321
-2.752967511,6.857469957
-2.752791737,7.719249895
-2.752312214,8.972107946
-2.751439654,8.205260717
-2.750153676,6.939487808
-2.748849736,9.015323178
-2.748280057,7.779098198
-2.748129787,7.604856364
-2.747511102,9.129493646
-2.747396043,8.044029976
-2.747315117,8.793444065
-2.745711435,9.266136292
-2.744991689,8.64278745
-2.744579405,9.391056655
-2.743270838,7.25940905
-2.74083287,7.577312527
-2.740515411,7.778872135
-2.739997796,6.125247245
-2.73970637,7.681114985
-2.738894797,5.327059135
-2.738184744,6.35962442
-2.7379407,8.15060897
-2.737316698,5.914228612
-2.737199633,6.11192832
-2.735959769,7.115759234
-2.735916898,7.343303298
-2.735470745,6.550887046
-2.7328974,6.059457292
-2.731882146,6.041896545
-2.731615143,7.354723127
-2.731451513,5.882986394
-2.730414435,8.447456078
-2.729375089,7.743915902
-2.729227747,6.38212522
-2.728702389,5.741128857
-2.728255834,5.050166502
-2.728188713,7.391857401
-2.727071436,6.450571903
-2.725207257,7.206637016
-2.725161163,6.748486147
-2.724375348,6.301818482
-2.724264161,4.597785304
-2.723456283,6.567393842
-2.721003356,6.371662797
-2.720741687,7.950531551
-2.719608947,5.40766904
-2.719103841,8.970288939
-2.718307612,8.317109409
-2.717185258,8.175942485
-2.715906832,6.120498637
-2.715114988,7.182013682
-2.714404909,5.615201651
-2.713359496,7.530938085
-2.71305476,8.855081846
-2.712698361,6.693653723
-2.710269569,7.846517765
-2.709522519,7.780525824
-2.709380334,6.663884762
-2.709142365,8.043107905
-2.709025748,7.859347078
-2.708473688,5.901024796
-2.707634398,6.159136104
-2.70730238,6.551008548
-2.707162192,7.544046502
-2.706803169,6.216022803
-2.706366653,7.603546754
-2.705676005,6.739587493
-2.705074919,5.968338436
-2.704020501,5.42416634
-2.703919101,4.522430599
-2.703579967,6.845357898
-2.703308475,8.251943966
-2.703043084,6.320451657
-2.702252989,7.023217229
-2.701916595,5.880353252
-2.700164725,6.401191049
-2.698418206,7.542713559
-2.698146645,7.534676204
-2.695725544,8.412363657
-2.6956187,5.591406876
-2.695340341,3.858891116
-2.694992531,4.956970059
-2.692357397,3.436968308
-2.690331116,7.428917393
-2.68845177,5.170117774
-2.688065914,7.090747295
-2.687237781,7.780982365
-2.686906214,7.347683502
-2.684839929,5.909965292
-2.684765197,6.449395037
-2.684002376,6.400005647
-2.682379375,7.105506918
-2.681589408,8.872329757
-2.681151722,4.500781461
-2.681029735,6.326057721
-2.679970017,8.819417187
-2.677516168,6.978604654
-2.67564301,4.965277585
-2.674518518,9.143841338
-2.673479346,4.263451449
-2.672164732,7.32467757
-2.670998165,6.395118938
-2.669324695,5.216733312
-2.668475799,7.133217502
-2.66780167,8.216583687
-2.6670786,7.568858677
-2.665408786,7.757073686
-2.664331803,6.157202948
-2.6634536,8.846155357
-2.663265775,6.375315629
-2.663116999,8.352602482
-2.662207609,7.934141188
-2.661878324,7.376893586
-2.660435748,6.962342093
-2.660264824,8.921903498
-2.659388247,9.45928965
-2.6587858,9.46424921
-2.658546714,6.735692135
-2.656962475,7.729780688
-2.65641268,6.033286426
-2.655199988,5.97618527
-2.654478586,7.001925345
-2.651824374,6.014625855
-2.650825934,7.561875758
-2.648895819,5.886859019
-2.64844646,7.557027969
-2.646927712,7.111878438
-2.645051963,7.062701754
-2.643641663,7.073012591
-2.64351378,6.535451793
-2.643427745,5.945412685
-2.643391066,6.828210541
-2.643363884,7.824187621
-2.64248199,5.049027978
-2.641104386,7.164512875
-2.640508652,4.317173015
-2.640250647,6.17178737
-2.64008128,4.119098862
-2.639537918,7.546625307
-2.639478161,8.465639751
-2.63898246,8.330879868
-2.636712501,7.168100639
-2.636091432,8.775156032
-2.635864408,7.667896133
-2.634573855,7.132078624
-2.634387895,5.706433543
-2.633598618,7.556045949
-2.633091203,6.350250307
-2.631733389,7.51114349
-2.630997396,3.866401972
-2.63034653,6.821971464
-2.628594365,6.233729028
-2.62809826,6.24163978
-2.626336458,7.245723629
-2.626269191,8.09745101
-2.62541449,6.324013546
-2.622300936,7.39774999
-2.620865036,7.194866275
-2.620848278,6.344043871
-2.619562611,7.473968663
-2.619458152,7.227757541
-2.619313149,6.26128139
-2.616024386,7.645551537
-2.61392053,4.568386822
-2.613612997,6.812081344
-2.613297728,6.629892382
-2.613071451,7.518131052
-2.612607435,5.251821251
-2.612091689,5.595848364
-2.61197982,4.642284269
-2.611902335,6.359463269
-2.611513247,6.641573574
-2.611481526,6.405678208
-2.611333434,4.748375694
-2.610972343,8.946846329
-2.610255748,3.449899198
-2.609821248,7.877348273
-2.608666389,7.956362654
-2.607939191,4.72962387
-2.607419999,5.379722266
-2.60705292,8.075839625
-2.606664258,6.499209435
-2.604844777,7.768749293
-2.603992453,6.750911024
-2.603955048,6.643496464
-2.60038081,4.017536069
-2.600341515,6.757589512
-2.600287711,7.582776171
-2.600212518,9.517366326
-2.599833628,7.809943359
-2.598257511,9.620056422
-2.596901574,5.614021774
-2.596359563,7.067659626
-2.594774631,8.609100877
-2.593390001,8.634572114
-2.592749791,8.068089888
-2.592385359,8.690262268
-2.592013823,6.280715991
-2.591697391,8.174882404
-2.58946808,6.376690903
-2.588112814,7.009982439
-2.588011339,5.926765955
-2.586488575,7.552208124
-2.586067751,7.212313834
-2.585349031,5.741869394
-2.585160576,4.886564432
-2.585084602,5.839476113
-2.584727775,3.361464699
-2.582009857,8.33442712
-2.581916103,6.940107959
-2.581297791,5.745903123
-2.580566101,4.6222006
-2.580116177,5.194321916
-2.579462454,6.356656277
-2.579333157,5.524001231
-2.579110564,5.968147057
-2.578663424,8.100574397
-2.577667702,7.853526414
-2.576701429,6.358988653
-2.576667262,8.90222017
-2.576549545,6.713500306
-2.575918608,7.004022505
-2.574542772,7.155097757
-2.572995546,7.787517136
-2.572065107,6.972010248
-2.57181045,5.347587945
-2.571717671,6.750644773
-2.571316763,7.08590797
-2.57112748,6.944204506
-2.570697526,4.559563264
-2.570504151,6.177054806
-2.569996342,7.041940526
-2.569957259,4.859580408
-2.569668566,7.791936571
-2.568554735,7.715443196
-2.567089374,7.285428478
-2.566969065,7.642455311
-2.564846912,6.049714525
-2.562768224,7.800438842
-2.561935897,6.698591982
-2.561576153,6.376469699
-2.561473804,6.69530917
-2.560610728,5.435401384
-2.560493322,6.837815938
-2.559475488,5.57288278
-2.558721471,6.053598059
-2.558684021,4.35886921
-2.55860918,4.023474056
-2.556714083,6.562311173
-2.555529008,6.55425466
-2.55543008,8.288086359
-2.554696263,6.30954413
-2.554480626,6.997980597
-2.549312629,4.533492442
-2.549143245,6.198085094
-2.548143821,5.832912015
-2.546811437,7.098792716
-2.546803376,8.221203438
-2.546573743,3.500629847
-2.546356279,5.500556977
-2.545443553,5.65500241
-2.545207515,6.229854631
-2.541234135,7.349907552
-2.540102298,5.797609601
-2.539516598,6.439734763
-2.539402448,6.18802782
-2.539087913,6.10606205
-2.537991885,7.781413026
-2.535433301,6.63515596
-2.535230465,5.653858091
-2.533805829,4.553389741
-2.533764208,8.916967759
-2.532831399,4.776123984
-2.532711525,9.096677748
-2.532642184,6.694742525
-2.532464767,5.930016166
-2.531582168,4.69210663
