,method,roc,r2,annual_r2,seasonal_r2,spatial_r2,bias
0,training,0.895868099480693,0.08469877777878904,0.6733472236874875,0.9822526234650201,0.12276636782104755,0.0024981773577235026
1,split_halves_0,0.8791877247119317,0.08685320048226326,0.6460457585509156,0.9273829539495358,0.04311940532796321,0.08452217491447164
2,split_halves_1,0.892754245033733,0.0647521931065727,0.6431666608583532,0.9681584497092542,0.09031965900353933,-0.07562170372852355
3,split_halves_2,0.9003478003412739,0.06106286392694382,0.19851041286504834,0.9140809532558796,0.09051889061620944,-0.10135193264501914
4,split_halves_3,0.8861267839169281,0.063740635364812,0.6658148037021003,0.9322607989513798,0.03473999505522363,0.15463520659065697
5,split_halves_4,0.8997027847656467,0.05972589211813764,0.6900295207524458,0.8612781516837703,-0.004546213417402134,-0.0070315157407323265
6,split_halves_5,0.8924968648516828,0.07056233827247249,0.6587883165113835,0.8355844120064101,0.01640632038540568,-0.006822229497575791
7,split_halves_6,0.87911340293164,0.056602784661159165,0.6522334985863301,0.916892512870165,0.024551246773476865,0.18862541270290975
8,split_halves_7,0.888366236012559,0.06063507262763396,0.7146395659205151,0.9600447811574695,0.098214787642119,-0.0635748479267206
9,split_halves_8,0.8862976239538582,0.08253711370812253,0.5852467368641168,0.9675343065788307,0.05919233829458703,0.054198352494757226
10,split_halves_9,0.8782993285938306,0.059101133268147955,0.7130690772192567,0.9381610312707579,0.03785979332369338,0.17623278113560936
11,extrapolate_0,0.8918502026451101,0.0578144686538514,0.5816680413571509,0.6760898947072532,0.07298386552592484,-0.4482783690909492
12,extrapolate_1,0.8930445676708253,0.06058487267707548,0.5811807124708794,0.6676259813406129,0.0722631588031013,-0.4588572949473246
13,extrapolate_2,0.8939947491551629,0.06196485293870248,0.5157717347925601,0.6601556260157511,0.06179475568116277,-0.5332702806006195
14,extrapolate_3,0.8978294210455346,0.06386922751286471,0.5192239733875327,0.6493352635027145,0.060911601370037705,-0.5150021287870172
15,extrapolate_4,0.9019449846820781,0.06398159036882665,0.5132404903789529,0.6568063559160874,0.05560230518958831,-0.5146772699191666
16,extrapolate_5,0.9050683331978246,0.05944433873561104,0.41354217656571823,0.6542231345800107,0.055323825490753986,-0.5174512120557213
17,extrapolate_6,0.9110518872189907,0.06042559190139826,0.3862590652993745,0.5968883057440306,0.04622828050168448,-0.5111924832961593
18,extrapolate_7,0.9106192987065657,0.06998188760923522,0.5483780170344319,0.48018981362303237,0.03790535292472552,-0.637148441097534
19,extrapolate_8,0.9123123285314527,0.08010802219307193,0.5859878936188685,0.5333450661810699,0.03577130912146309,-0.6015754605672992
20,extrapolate_9,0.9113548995782715,0.08484828830475606,0.8065919113048923,0.5120627899625615,0.028825836863850096,-0.6323835750681115
21,shuffle_months_0,0.7820898021772374,0.06579260660962671,-0.24465032938863773,0.11640213773116181,0.15656899790625944,0.002552956935785547
22,shuffle_months_1,0.7808068806121328,0.0609882210143641,-0.19785529638771493,0.032150792810132445,0.1535180712372961,0.0024038056062973133
23,shuffle_months_2,0.7812829309103397,0.060831578920907195,0.1622130986106497,0.039002722644903565,0.1547464499564598,0.0025393925917020954
24,shuffle_months_3,0.7799693715162559,0.06125011883479494,0.08647993892951922,-0.04929923667470826,0.14940895635978257,0.0025032886001902397
25,shuffle_months_4,0.7823911710563316,0.061459378313380636,0.10742406444206654,0.08331677402701965,0.1560693302397722,0.002496684852364222
26,shuffle_months_5,0.7861920715089366,0.061671538328002026,-0.13541305606651055,0.1918075070411418,0.1551340158072836,0.002461092811019093
27,shuffle_months_6,0.783570581333067,0.0632153217716527,0.14573503626140716,-0.1492033985525787,0.15746017323905015,0.0025234523314149036
28,shuffle_months_7,0.7828446879527539,0.060590653603665647,0.045231519126255004,-0.03058430173354032,0.15700555368976366,0.002490423708752859
29,shuffle_months_8,0.7860162362382068,0.06290576021854292,0.018505833724407283,0.2800249546374729,0.1592174882944425,0.00250196354376188
30,shuffle_months_9,0.7818839662402152,0.061077350220872045,-0.026948835775421953,-0.04181322377042829,0.14998108028511603,0.002559184715891441
31,shuffle_years_0,0.8572123077015021,0.06894414142530962,0.2681956365224991,0.9328456522358266,0.15254807321222164,0.002491324832422302
32,shuffle_years_1,0.858026312300306,0.0654188289738099,0.1746273861506875,0.9375855238630624,0.15212315654482655,0.0024950046248674498
33,shuffle_years_2,0.859382143269766,0.06879472356310773,0.34561458810977186,0.9464928328926511,0.15034545323683002,0.0024950596441837506
34,shuffle_years_3,0.8560739238957241,0.06675214458932266,0.10523787835584764,0.9186300938993985,0.15397993653601694,0.002488198037024362
35,shuffle_years_4,0.8555074953047717,0.06456305871598647,-0.14251305650715151,0.9213425552701813,0.15546047042387312,0.002533770137752931
36,shuffle_years_5,0.8557322125485008,0.0689322498535749,-0.021410557750222603,0.9404070829350727,0.14981666659173698,0.0024893124849606333
37,shuffle_years_6,0.8577441006858727,0.069120096242036,0.15993284176727218,0.9444039975367271,0.14977528373243587,0.0025274515990121793
38,shuffle_years_7,0.8577071279955492,0.06828949050491225,-0.27201992997790847,0.918539171848793,0.1498774451201348,0.002446413094966524
39,shuffle_years_8,0.8641779791041273,0.06996678486825092,0.24605084575399416,0.9485466466305128,0.1487543087717158,0.002409772371720027
40,shuffle_years_9,0.860115771439036,0.0669411815229854,-0.2940275217554116,0.9319007403482892,0.15128170196647972,0.002510885417954529
41,shuffle_all_0,0.5162966809671148,0.0075931119409893425,0.020498473032901532,0.006308692423869111,0.015824071089238556,0.05557028992952174
42,shuffle_all_1,0.5203094374961609,0.005987332820375202,0.07705379853110716,0.02306766570198948,0.013470055433220218,0.04699662359812385
43,shuffle_all_2,0.5233615539025356,0.005560431690745709,-0.021869480184500967,-0.052718345350124096,-0.00676345800235012,0.0032137890647264537
44,shuffle_all_3,0.518281827805592,0.002739380600745561,0.117576478184095,-0.03348364949194793,-0.0032996660785400422,-0.011070087195832594
45,shuffle_all_4,0.5231425614165464,0.005148777538839031,0.11317797224720394,-0.018104537771628904,-0.014708159122410747,-0.002570365799653206
46,shuffle_all_5,0.5237920407261762,0.009010480071247691,0.024068790846050847,-0.013706110144299899,-0.0023982028737643546,0.01209464069905436
47,shuffle_all_6,0.5225269094894989,0.00728476106524585,-0.009420376475424375,-0.018330256333747075,-0.01107316611487974,-0.021481775371254615
48,shuffle_all_7,0.5234371417387715,0.005936467120170734,0.05898178374900209,0.05640574501556739,0.001003364724853184,-0.013672719553674441
49,shuffle_all_8,0.5172507837346032,0.0051528843539335,-0.009752729743992106,0.05048452729632735,0.01861683480183496,-0.004808249919613415
50,shuffle_all_9,0.5198696769731024,0.008294183002548907,-0.05179876676719952,-0.03618425160928007,0.0018363414340335504,-0.005277462167861165
